lighting,buildingDensity,cctv,nightlife,districtRisk,userPenalty,timeRisk,crimeNearby
0.5,0,0,0,,,1,1
0.4,87,0,0,1.03,0,1.6,1
0.4,256,0,0,1.03,0,1.2,1
0.5,0,0,0,,,1,1
0.4,43,0,0,1.11,0,1.6,1
0.4,5,0,0,1.11,0,1,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,1,0,0,1.11,0,0.9,1
0.4,3,0,0,1.11,0,1.6,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.11,0,1,1
0.5,0,0,0,,,1,1
0.4,4,0,0,1.11,0,1.6,1
0.5,0,0,0,,,1,1
0.4,3,0,0,1.11,0,0.9,1
0.4,2,0,0,1.11,0,1.6,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,4,0,0,1.11,0,1.2,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.11,0,1.2,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.11,0,1.6,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.11,0,1.2,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.01,0,0.9,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.01,0,0.9,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.01,0,1.4,0
0.5,0,0,0,,,1,1
0.4,9,0,0,1.01,0,1,1
0.4,2,0,0,1.01,0,1,1
0.4,1,0,0,1.01,0,1.2,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.01,0,1,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.01,0,1.6,1
0.4,0,0,0,1.01,0,0.9,1
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.01,0,0.9,0
0.4,0,0,0,1.01,0,1.2,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.07,0,1.6,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,5,0,0,1.07,0,1,0
0.5,0,0,0,,,1,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.07,0,1.6,0
0.5,0,0,0,,,1,0
0.4,0,0,0,1.07,0,1,0
0.4,1,0,0,1.07,0,1,1
0.5,0,0,0,,,1,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.07,0,1.6,1
0.4,1,0,0,1.07,0,0.9,1
0.5,0,0,0,,,1,1
0.4,0,0,0,1.07,0,1,1
0.4,0,0,0,1.07,0,1,1
0.4,3,0,0,1.07,0,1,0
0.4,0,0,0,1.07,0,0.9,0
0.4,0,0,0,1.07,0,0.9,0
0.4,0,0,0,1.07,0,1.6,0
0.4,0,0,0,1.07,0,1,0
0.4,0,0,0,1.07,0,1.6,0
0.5,0,0,0,,,1,0
